team_a_name,team_a_score,team_b_name,team_b_score,winner
andrew's bots,729,¡WHAM!,-729,andrew's bots
reference_staff,9439,reference_checkcall,-9439,reference_staff
Diamond Dogs,733,Hurrikeynes,-733,Diamond Dogs
AlphaFish,-222,Daniel Negreanu,222,Daniel Negreanu
kaonashi,-276,YEE,276,YEE
andrew's bots,-93,preflop all in,93,preflop all in
yeet,1254,player1,-1254,yeet
Kappa Sigma C Team,1256,BluffBot,-1256,Kappa Sigma C Team
Hurrikeynes,-900,Team Name,900,Team Name
BluffBot,7,LadyMooseLizardPhi,-7,BluffBot
Icy,-329,BadBeatBot,329,BadBeatBot
Power JEM ,-147,pls STOP we BROKE,147,pls STOP we BROKE
andrew's bots,-465,Army Leggy,465,Army Leggy
Hurrikeynes,-1720,Icy,1720,Icy
PokerBrots,-123,kaonashi,123,kaonashi
Heffalump Rangers,-1018,reference_lecture_2,1018,reference_lecture_2
Blind Plays,130,Kappa Sigma C Team,-130,Blind Plays
Daniel Negreanu,441,Diamond Dogs,-441,Daniel Negreanu
reference_lecture_1,-9879,Army Leggy,9879,Army Leggy
Kappa Sigma C Team,6768,reference_checkcall,-6768,Kappa Sigma C Team
kaonashi,-465,Kappa Sigma C Team,465,Kappa Sigma C Team
reference_lecture_1,-7462,Kappa Sigma C Team,7462,Kappa Sigma C Team
andrew's bots,1564,Bananarchist,-1564,andrew's bots
Hurrikeynes,-1606,pkr face,1606,pkr face
BadBeatBot,-121,LadyMooseLizardPhi,121,LadyMooseLizardPhi
Jigglybluff,672,Team Name,-672,Jigglybluff
CC Star,-122,SWEET BUT SALTY,122,SWEET BUT SALTY
ChocolateWarriors,-1271,AlphaFish,1271,AlphaFish
LadyMooseLizardPhi,80,pls STOP we BROKE,-80,LadyMooseLizardPhi
Flush Boys,-554,reference_lecture_2,554,reference_lecture_2
SWEET BUT SALTY,679,reference_random,-679,SWEET BUT SALTY
fleabitten,237,Diamond Dogs,-237,fleabitten
AAAKJ,847,reference_random,-847,AAAKJ
reference_staff,-2455,andrew's bots,2455,andrew's bots
PokerBrots,-240,Daniel Negreanu,240,Daniel Negreanu
AAAKJ,208,pls STOP we BROKE,-208,AAAKJ
reference_lecture_1,-859,Blind Plays,859,Blind Plays
yeet,1227,AP,-1227,yeet
reference_lecture_2,-180,kaonashi,180,kaonashi
Team Name,-537,BadBeatBot,537,BadBeatBot
Jigglybluff,441,:),-441,Jigglybluff
ChocolateWarriors,-518,reference_checkcall,518,reference_checkcall
IeetChips,-318,PotHotBot,318,PotHotBot
player1,-1092,B),1092,B)
ChocolateWarriors,-1131,Third Mid,1131,Third Mid
Diamond Dogs,-394,Boners '22,394,Boners '22
player1,-553,¡WHAM!,553,¡WHAM!
CC Star,1383,Hurrikeynes,-1383,CC Star
Power JEM ,-398,YEE,398,YEE
